periodo,molienda_cereales_y_oleaginosas,resto_de_alimentos,bebidas,tabaco,textil_indumentaria_y_cuero,madera_papel_y_edicion,refinacion_de_petroleo,quimicos,caucho_y_plastico,minerales_no_metalicos,metales_basicos,metalmecanica,automotriz,resto_de_industria,total_industria
2014-05-01,106571.4473593411,137525.5894355856,49666.46943831407,2908.302590970242,74404.60306650763,108894.14966442,67494.24889468221,209681.8908560852,83183.74819272554,171031.2912854367,310127.7916390011,21959.54576675468,34974.49376665241,1025.896249879502,1378319.485914807
2014-06-01,104651.3911093711,141039.0013626266,48912.87048449723,3256.987164565448,75349.66542146368,110078.0517270295,66281.93823610483,212458.9923992296,84188.64537475728,167816.5836075648,316592.1917973314,22054.28897368003,35049.7300498387,1106.873417710712,1396936.344335719
2014-07-01,104223.2801834464,146325.0966023773,48741.19071386503,3256.128343254081,74914.77535774588,112149.7140403425,68012.01858126915,210827.5417899743,82557.70842370845,167985.6039395648,318069.6606950767,21895.42816758107,34680.36776465589,1079.304660214094,1390074.282857351
2014-08-01,102781.9657853399,142558.9854234474,49160.21069492335,2721.625575588574,74875.25844408972,111961.3613828217,69749.30988464356,203586.8341647074,79412.76478725846,168796.5531746396,291679.7356769277,21358.61471185506,33391.56746270793,1044.798707918251,1345871.789329642
2014-09-01,104085.5544665834,140031.3135696705,51648.90865681993,2770.92019625191,74655.17662734535,114125.8860221796,69614.65016300665,215020.0406100704,83957.59626859101,164362.6894728172,280730.1399433885,21846.96394330883,35459.23100699628,1032.138729832269,1358127.598428506
2014-10-01,119540.7408499265,143880.8706615496,51347.88870404773,2869.070306455199,74403.52451950277,112709.3511516008,68465.41568237991,211484.4650273886,87582.80998789541,169479.0731734351,269938.9165107749,22024.40870304503,36901.71764817627,1135.257582915786,1362571.781086116
2014-11-01,102084.977482805,142130.3905075442,51152.96364407393,2874.313998438787,72856.21418691214,106114.4054345403,65836.05507228945,203953.6974805222,81898.23945470434,169184.8392408151,295555.1012129237,21937.1728758902,36928.14952996617,1050.847687234777,1361143.249343238
2014-12-01,105558.4039960392,140677.9359153725,49191.18901120905,2733.14274097508,73695.21053459877,111732.6061629582,65329.24550883014,203839.1415025924,82509.49157912639,168930.1465504071,303034.4086597888,21960.52015886612,38092.35344289708,1147.151327148038,1360888.304121062
2015-01-01,102618.2561066358,143082.2160363246,48851.16936976744,2793.203914858752,71802.18362422788,109753.8359647536,68533.70117561315,206859.350342399,78996.15142099574,171695.084615446,268544.5734256409,22280.29551686343,38278.14705408974,1109.358780723919,1338692.001584601
2015-02-01,106576.1235547247,144625.6586067238,46631.17189370574,2955.406482647037,71226.84858201636,110457.4852803477,69521.72188062019,198617.9604258419,86536.53637965691,168577.0269565902,271493.802626263,22158.71402238572,38445.04827968373,1278.90710237774,1340316.854306497
2015-03-01,100848.936494886,146999.9323126133,48432.27513797621,3126.350884393587,71760.43610515245,113900.133958104,70989.14177503419,212230.478220223,83618.14216555975,170930.4371625055,251987.6604976527,22262.58963460298,37519.47814973983,1192.979621641589,1344355.11242032
2015-04-01,108095.0789591027,147683.8442624643,52366.38893981493,3189.546867749225,73026.54166056267,118029.4184260732,70511.83439028278,212661.0306390154,84935.64267574222,172981.6235740965,241719.3443637646,22218.11855448845,37948.29274493246,1239.855789671448,1349596.574976539
2015-05-01,72173.41286520862,145581.2836304126,53296.38418248252,3173.105227552277,74292.18042037518,114618.6687587006,69980.70144988556,207689.879424335,84385.85368036221,176035.9955741558,236089.4337614101,22087.89610873106,37634.28007517933,1191.667446053322,1299622.062559777
2015-06-01,102810.7959704997,143455.2839962219,52050.32026491068,3371.274379804446,75983.31163680348,114953.8324405931,69027.34315341842,209527.2809272319,87556.0708093639,179948.082519226,256058.1471603912,22802.71523512827,39698.30867216334,1172.122020594972,1366387.13666949
2015-07-01,112147.7293695268,141813.3452107462,49883.22907956273,3109.580803991203,75215.02815438151,119311.4503522606,66878.81128909154,195266.8087835675,86983.26093086286,178360.4652050541,257471.9271321969,22857.12229096542,38965.13531795886,1188.224488528208,1337544.935503941
2015-08-01,112918.2311114835,139544.6897395112,50665.99753112042,3138.174244462917,74502.70730447589,113047.791944003,63917.12320769342,206047.5199080429,84358.41055472179,169203.4966943456,302537.6668032315,22581.63481876601,37532.17426060241,1100.915552151157,1374049.436038075
2015-09-01,110076.8102262813,142232.3587776304,50028.70221678788,3075.655379577914,76241.21144362063,113888.9672406595,69628.87435448775,198259.396293138,84706.57142897899,175853.1519837314,256767.3348541331,23752.50922032148,39459.05983204078,1218.118034283533,1348115.977024707
2015-10-01,109745.9069697539,136831.6760087141,48413.81352479698,2969.729315158754,75964.62943091271,113367.8417301796,68841.60667887398,200994.9462561957,83108.68517676898,177610.0456971773,280432.9856796809,22769.85050021563,37008.03260957993,1068.435827344386,1353750.167925214
2015-11-01,111539.8375287265,135912.2243224171,46694.80914224302,2899.347712856857,75801.22352258515,116130.2549410684,70270.5221342453,203184.6463844296,84502.28398537949,174777.8819440682,254955.0954933561,22489.86943545172,36562.13436907882,1143.87002504636,1336697.076409461
2015-12-01,110929.3471448073,136511.7701076045,48794.04727933386,2837.015225619696,76364.53964810469,115387.9122008512,71747.16013015868,202535.7487241553,81130.17073951058,172479.867170536,244956.4169833287,21996.31339442042,37105.453209044,1066.199208478355,1322016.776624665
2016-01-01,118022.3282826564,135507.6736278762,47641.28022903617,2959.436035103507,69659.94613910049,116161.495893162,70322.81678530471,196843.4271824619,81115.50265062206,171702.124750834,251040.9353235734,21888.7892072098,39855.8279914989,1111.238144923884,1329228.131098381
2016-02-01,105312.3860539823,134274.852028088,47952.04738751573,2893.141962233505,76480.50692555482,113364.408103641,72874.15783129797,205131.6471783898,82880.76767116359,177313.1022253483,210168.3482410138,22052.40168027308,39027.11867477849,1094.565522646059,1283645.913261462
2016-03-01,111801.831114262,137363.2722568336,47782.95529415966,3012.092593579048,73471.74505261432,105048.6667795757,71915.25646436837,195930.6184591995,83201.68744576888,166660.2032709385,178581.1500100289,21460.02914606153,39320.47976169987,1126.271169425417,1245835.901028991
2016-04-01,101212.8392958914,133397.5278260511,48336.89859082966,3314.793521691675,71872.60058017878,111125.646065706,70654.3843095802,197433.5495228384,82545.91627441481,162977.3763670983,185674.4733299809,21735.73795836488,38674.18991055586,1136.377285794315,1234930.473192769
2016-05-01,99487.4204907642,131482.653683914,45843.09391282289,3020.77429466597,68265.45114238904,109632.8827530454,68293.11151608301,196858.7933536604,78000.48044220216,158135.9255617919,206768.0065788183,20907.11916497958,38131.97943997337,1114.867792397437,1226532.136910399
2016-06-01,102460.9887474819,132095.1012440278,44160.62958116056,2881.89293592623,66256.64258330308,108072.0002971021,66656.14640103396,183531.2255109223,75192.26906037371,158745.320811754,200249.3066117248,19728.55917860835,36645.51215885207,1126.751298949022,1206089.521811351
2016-07-01,99074.05602192091,133860.1092027753,47350.3242045273,2582.802001797984,65054.36498537808,98737.84710893556,71317.33017388122,206908.7944776532,75417.6132054475,179300.5223944525,186210.3972441052,19332.12762014992,37238.88308876789,1003.875296821215,1217082.300554524
2016-08-01,102490.0470225542,136288.6305611031,47963.5103575744,2490.784216806034,68047.86035698315,101428.957069354,67339.33103854064,199388.4923113901,77260.63238405823,154098.8794179683,170490.2748869073,19061.26819728583,38060.25128641921,1118.94993642486,1174852.441421577
2016-09-01,107813.4813484863,133546.2982021765,48785.51394560845,2495.55924080896,64404.50388165268,101316.0953286172,65881.19316080694,199636.0970156352,76597.35718719976,156093.301431802,177799.730729437,19582.35440388422,37289.79904951447,1078.051972043846,1186690.562503142
2016-10-01,105031.5106812961,133953.9289992205,49041.56274611141,2168.425640825121,62641.72577564851,104739.747762225,67066.756665765,198497.1026919998,78172.10190842337,154859.7100136363,186482.9223072063,20360.12149335312,37337.77099415471,1114.507232505084,1198490.011084982
2016-11-01,108984.7549506478,135035.2703141147,47003.50839854955,2411.317828849247,64844.56578517858,103112.9964019967,67206.0101032713,207212.5876705029,78842.57949180224,158788.4611126934,182452.968175692,19976.12019928433,39307.60565722316,1067.9002090406,1223346.699841733
2016-12-01,104283.8794041928,137507.4800610931,49466.73215798572,2540.327667464449,63486.33662391653,102169.6767934808,63499.84183463221,200313.7207454075,81525.36781354477,163072.005614136,200755.8793157228,19598.9213942985,42450.4245766083,1209.375326076825,1230564.723115802
2017-01-01,102400.03215554,138376.4325997856,49196.9163774992,2652.766836339716,65258.075323692,102276.6390532832,66786.94794540675,208703.7150758687,81436.37400457503,158806.2501173596,205733.499898433,19855.84381882833,39775.13274164484,1149.477201268543,1246863.418426391
2017-02-01,101163.4724218108,136957.9353660511,48667.44221344152,2376.324979377205,66852.34327936062,106058.7730947267,64256.96762188799,207979.1994015071,76456.52187236267,165015.7181342453,212953.4269215137,20222.49597650409,36421.5649814475,1089.963448280311,1244031.287580909
2017-03-01,107015.4023398985,138075.1156489777,48877.71323667889,2247.387205449629,67061.40384514316,103701.7806487873,65832.90892098178,211249.3288638785,80251.838771084,164265.2108500366,225106.9878807016,20404.02114398842,39002.80211144569,1282.448498932687,1281401.976027604
2017-04-01,99346.57677066144,137427.6521756765,47680.60888443397,2168.139316262002,62601.55692251519,105818.7710228498,66244.64227316745,208035.6034844594,77861.37976014166,162092.3728656141,231247.9718289416,20294.97103044825,36531.25481739552,1036.311263733866,1264597.714364063
2017-05-01,98859.25688539995,128069.1550023675,48214.26461717924,2124.013502989336,66556.35248124588,106344.0877793816,65775.84272446034,202408.6093797234,79297.11015962582,163684.4669927015,213737.4135360158,20584.43493888904,38990.13324930997,1055.054168634549,1233905.458789498
2017-06-01,97685.0915882144,136689.4859366694,48290.59055841474,2288.78203367806,66847.67039213919,106138.5042007204,68059.27766421402,214567.9299681,80491.72528447503,158664.2485189141,205820.7956805833,21027.69224501172,38750.8854827914,1011.061032769865,1245321.889252817
2017-07-01,99948.80907526519,137913.3884856458,50655.06217496343,2773.733366309611,66770.20890703588,109737.2808425953,60366.42862798731,213946.3013793071,80579.849409749,172261.5363273629,224336.4789420486,21698.68479824608,37202.05088148692,962.6938427943344,1273002.196980142
2017-08-01,98897.8888897045,137013.498582384,48780.01803187835,2622.327003249166,66887.36418115614,110027.0241628988,63049.64694368487,217256.6935962051,80481.79661799368,169744.9627176612,226568.2692840941,21920.43299988581,37688.08095270115,1030.850452841085,1277179.290089004
2017-09-01,95404.14848628579,137313.6622259912,47933.35903127184,2614.026097848073,67349.63294270274,108714.8219253315,62461.61929854384,213169.6585271764,80798.13011657938,165775.7791086452,243182.5898005009,21358.95690693575,37847.61788720355,981.4739703139309,1282206.201483627
